PWSID,Groundwater,Surface Water,Interties
CA1300626,0,1,1
CA1300627,2,0,0
CA1300628,0,1,0
CA1300629,2,0,0
CA1300632,1,0,0
CA1300635,0,1,0
CA1300637,0,1,0
CA1300638,0,1,0
CA1300642,0,1,0
CA1300643,3,0,0
CA1300644,0,1,0
CA1300652,0,1,0
CA1300653,0,1,0
CA1300654,1,0,0
CA1300655,0,1,0
CA1300656,1,0,0
CA1300657,1,0,0
CA1300661,0,1,0
CA1300662,1,0,0
CA1300664,2,0,0
CA1300667,1,0,0
CA1300668,0,1,0
CA1300669,0,1,0
CA1300676,0,1,0
CA1300678,1,0,0
CA1300679,0,1,0
CA1300683,1,0,0
CA1300684,1,0,0
CA1300685,0,1,0
CA1300686,1,0,0
CA1300687,1,0,0
CA1300693,0,1,0
CA1400004,1,0,0
CA1400005,2,0,0
CA1400006,3,0,0
CA1400007,3,0,0
CA1400019,1,0,0
CA1400024,2,0,0
CA1400025,1,0,0
CA1400027,2,0,0
CA1400030,3,0,0
CA1400031,2,0,0
CA1400035,0,1,0
CA1400043,1,0,0
CA1400045,2,0,0
CA1400049,2,0,0
CA1400051,1,0,0
CA1400055,2,0,0
CA1400064,2,0,1
CA1400066,2,0,0
CA1400067,1,0,0
CA1400072,2,0,0
CA1400078,1,0,0
CA1400088,1,0,0
CA1400098,0,1,0
CA1400099,1,0,0
CA1400102,2,0,0
CA1400110,3,0,0
CA1400111,5,0,0
CA1400131,1,0,0
CA1400135,3,0,0
CA1400144,1,0,0
CA1400147,1,0,0
CA1400155,0,1,0
CA1400161,1,0,0
CA1400181,1,0,0
CA1400184,1,0,0
CA1400185,1,0,0
